"INSTRUMENTID","EXCHANGEID","INSTRUMENTNAME","PRODUCTID","PRODUCTCLASS","MAXLIMITORDERVOLUME","MINLIMITORDERVOLUME","VOLUMEMULTIPLE","PRICETICK","OPENDATE","EXPIREDATE","UNDERLYINGINSTRID","UNDERLYINGMULTIPLE"
"p0808","DCE","棕榈油0808","p","1",1000,1,10,2,"20070815","20080814",null,1
"zn0809","SHFE","锌0809","zn","1",500,1,5,5,"20070918","20080916",null,1
"ru0809","SHFE","天然橡胶0809","ru","1",500,1,5,5,"20070918","20080916",null,1
"c0809","DCE","黄玉米0809","c","1",2000,1,10,1,"20070917","20080912",null,1
"a0903","DCE","黄大豆1号0903","a","1",1000,1,10,1,"20070917","20090313",null,1
"b0809","DCE","黄大豆2号0809","b","1",1000,1,10,1,"20070917","20080912",null,1
"p0809","DCE","棕榈油0809","p","1",1000,1,10,2,"20070917","20080912",null,1
"WS809","CZCE","优质强筋小麦809","WS","1",1000,1,10,1,"20070921","20080922",null,1
"WT809","CZCE","硬冬白小麦809","WT","1",1000,1,10,1,"20070921","20080922",null,1
"RO809","CZCE","菜籽油809","RO","1",1000,1,5,2,"20070917","20080912",null,1
"p0810","DCE","棕榈油0810","p","1",1000,1,10,2,"20071022","20081017",null,1
"cu0810","SHFE","铜0810","cu","1",500,1,5,10,"20071016","20081015",null,1
"cu0710","SHFE","铜0710","cu","1",500,1,5,10,"20061017","20071015",null,1
"zn0710","SHFE","锌0710","zn","1",500,1,5,5,"20061017","20071016",null,1
"ru0710","SHFE","天然橡胶0710","ru","1",500,1,5,5,"20061017","20071016",null,1
"al0710","SHFE","铝0710","al","1",500,1,5,5,"20061017","20071016",null,1
"l0710","DCE","线型低密度聚乙烯0710","l","1",1000,1,5,5,"20061023","20071019",null,1
"p0710","DCE","棕榈油0710","p","1",1000,1,10,2,"20061023","20071019",null,1
"cu0711","SHFE","铜0711","cu","1",500,1,5,10,"20061116","20071115",null,1
"zn0711","SHFE","锌0711","zn","1",500,1,5,5,"20061117","20071116",null,1
"fu0711","SHFE","燃料油0711","fu","1",500,1,10,1,"20061101","20071031",null,1
"c0711","DCE","黄玉米0711","c","1",2000,1,10,1,"20061115","20071114",null,1
"b0711","DCE","黄大豆2号0711","b","1",1000,1,10,1,"20061115","20071114",null,1
"al0711","SHFE","铝0711","al","1",500,1,5,5,"20061117","20071116",null,1
"y0711","DCE","豆油0711","y","1",1000,1,10,2,"20061115","20071114",null,1
"m0711","DCE","豆粕0711","m","1",1000,1,10,1,"20061115","20071114",null,1
"p0711","DCE","棕榈油0711","p","1",1000,1,10,2,"20061115","20071114",null,1
"WS711","CZCE","优质强筋小麦711","WS","1",1000,1,10,1,"20061123","20071122",null,1
"m0708","DCE","豆粕0708","m","1",1000,1,10,1,"20060815","20070814",null,1
"cu0712","SHFE","铜0712","cu","1",500,1,5,10,"20061218","20071217",null,1
"fu0712","SHFE","燃料油0712","fu","1",500,1,10,1,"20061201","20071130",null,1
"al0712","SHFE","铝0712","al","1",500,1,5,5,"20061219","20071217",null,1
"y0712","DCE","豆油0712","y","1",1000,1,10,2,"20061215","20071217",null,1
"m0712","DCE","豆粕0712","m","1",1000,1,10,1,"20061215","20071217",null,1
"IF1705","CFFEX","IF1705","IF","1",100,1,300,0.2,"20170320","20170519",null,null
"cu0801","SHFE","铜0801","cu","1",500,1,5,10,"20070116","20080115",null,1
"zn0801","SHFE","锌0801","zn","1",500,1,5,5,"20070117","20080115",null,1
"fu0801","SHFE","燃料油0801","fu","1",500,1,10,1,"20070104","20071231",null,1
"c0801","DCE","黄玉米0801","c","1",2000,1,10,1,"20070118","20080115",null,1
"a0807","DCE","黄大豆1号0807","a","1",1000,1,10,1,"20070118","20080714",null,1
"al0801","SHFE","铝0801","al","1",500,1,5,5,"20070117","20080115",null,1
"y0801","DCE","豆油0801","y","1",1000,1,10,2,"20070118","20080115",null,1
"m0801","DCE","豆粕0801","m","1",1000,1,10,1,"20070118","20080115",null,1
"p0801","DCE","棕榈油0801","p","1",1000,1,10,2,"20070118","20080115",null,1
"WS801","CZCE","优质强筋小麦801","WS","1",1000,1,10,1,"20070124","20080123",null,1
"IH1705","CFFEX","上证50指数1705","IH","1",100,1,300,0.2,"20170320","20170519",null,1
"IC1705","CFFEX","中证500指数1705","IC","1",100,1,200,0.2,"20170320","20170519",null,1
"TF1712","CFFEX","5年期国债1712","TF","1",200,1,10000,0.005,"20170313","20171208",null,1
"T1712","CFFEX","10年期国债1712","T","1",200,1,10000,0.005,"20170313","20171208",null,0
"AP901","CZCE","鲜苹果901","AP","1",1000,1,10,1,"20180116","20190115",null,1
"cu0802","SHFE","铜0802","cu","1",500,1,5,10,"20070216","20080215",null,1
"zn0802","SHFE","锌0802","zn","1",500,1,5,5,"20070226","20080215",null,1
"l0802","DCE","线型低密度聚乙烯0802","l","1",1000,1,5,5,"20070215","20080221",null,1
"zn0805","SHFE","锌0805","zn","1",500,1,5,5,"20070517","20080515",null,1
"y0809","DCE","豆油0809","y","1",1000,1,10,2,"20070917","20080912",null,1
"l0809","DCE","线型低密度聚乙烯0809","l","1",1000,1,5,5,"20070917","20080912",null,1
"l1005","DCE","线型低密度聚乙烯1005","l","1",1000,1,5,5,"20090518","20100517",null,1
"m1005","DCE","豆粕1005","m","1",1000,1,10,1,"20090518","20100517",null,1
"p1005","DCE","棕榈油1005","p","1",1000,1,10,2,"20090518","20100517",null,1
"au0902","SHFE","黄金0902","au","1",500,1,1000,0.01,"20080218","20090216",null,1
"a1001","DCE","黄大豆1号1001","a","1",1000,1,10,1,"20080715","20100115",null,1
"b0907","DCE","黄大豆2号0907","b","1",1000,1,10,1,"20080715","20090714",null,1
"al0907","SHFE","铝0907","al","1",500,1,5,5,"20080716","20090715",null,1
"y0907","DCE","豆油0907","y","1",1000,1,10,2,"20080715","20090714",null,1
"l0907","DCE","线型低密度聚乙烯0907","l","1",1000,1,5,5,"20080715","20090714",null,1
"m0907","DCE","豆粕0907","m","1",1000,1,10,1,"20080715","20090714",null,1
"p0907","DCE","棕榈油0907","p","1",1000,1,10,2,"20080715","20090714",null,1
"WT907","CZCE","硬冬白小麦907","WT","1",1000,1,10,1,"20080724","20090723",null,1
"sc2203","INE","原油2203","sc","1",500,1,1000,0.1,"20190301","20220228","sc",1
"m0903","DCE","豆粕0903","m","1",1000,1,10,1,"20080317","20090313",null,1
"p0903","DCE","棕榈油0903","p","1",1000,1,10,2,"20080317","20090313",null,1
"WT903","CZCE","硬冬白小麦903","WT","1",1000,1,10,1,"20080324","20090323",null,1
"m1911-P-2350","DCE","m1911-P-2350","m_o","2",100,1,10,0.5,"20190301","20191014","m1911",1
"m1911-C-2350","DCE","m1911-C-2350","m_o","2",100,1,10,0.5,"20190301","20191014","m1911",1
"IF1805","CFFEX","IF1805","IF","1",100,1,300,0.2,"20180319","20180518",null,null
"IH1805","CFFEX","上证50指数1805","IH","1",100,1,300,0.2,"20180319","20180518",null,1
"au0903","SHFE","黄金0903","au","1",500,1,1000,0.01,"20080318","20090316",null,1
"IC1805","CFFEX","中证500指数1805","IC","1",100,1,200,0.2,"20180319","20180518",null,1
"m1905-P-2250","DCE","m1905-P-2250","m_o","2",100,1,10,0.5,"20190301","20190408","m1905",1
"y0903","DCE","豆油0903","y","1",1000,1,10,2,"20080317","20090313",null,1
"l0903","DCE","线型低密度聚乙烯0903","l","1",1000,1,5,5,"20080317","20090313",null,1
"p0708","DCE","棕榈油0708","p","1",1000,1,10,2,"20060815","20070814",null,1
"cu0709","SHFE","铜0709","cu","1",500,1,5,10,"20060918","20070917",null,1
"zn0709","SHFE","锌0709","zn","1",500,1,5,5,"20060919","20070917",null,1
"fu0709","SHFE","燃料油0709","fu","1",500,1,10,1,"20060901","20070831",null,1
"c0709","DCE","黄玉米0709","c","1",2000,1,10,1,"20060915","20070914",null,1
"a0803","DCE","黄大豆1号0803","a","1",1000,1,10,1,"20060915","20080314",null,1
"al0709","SHFE","铝0709","al","1",500,1,5,5,"20060919","20070917",null,1
"y0709","DCE","豆油0709","y","1",1000,1,10,2,"20060915","20070914",null,1
"m0709","DCE","豆粕0709","m","1",1000,1,10,1,"20060915","20070914",null,1
"p0709","DCE","棕榈油0709","p","1",1000,1,10,2,"20060915","20070914",null,1
"WS709","CZCE","优质强筋小麦709","WS","1",1000,1,10,1,"20060922","20070920",null,1
"jd1805","DCE","鲜鸡蛋1805","jd","1",300,1,10,1,"20170525","20180528",null,null
"m1712-C-2500","DCE","m1712-C-2500","m_o","2",100,1,10,0.5,"20170525","20171107","m1712",1
"WS901","CZCE","优质强筋小麦901","WS","1",1000,1,10,1,"20071123","20090115",null,1
"cu0812","SHFE","铜0812","cu","1",500,1,5,10,"20071218","20081215",null,1
"zn0812","SHFE","锌0812","zn","1",500,1,5,5,"20071218","20081215",null,1
"fu0812","SHFE","燃料油0812","fu","1",500,1,10,1,"20071203","20081128",null,1
"al0812","SHFE","铝0812","al","1",500,1,5,5,"20071218","20081215",null,1
"y0812","DCE","豆油0812","y","1",1000,1,10,2,"20071218","20081212",null,1
"l0812","DCE","线型低密度聚乙烯0812","l","1",1000,1,5,5,"20071218","20081212",null,1
"m0812","DCE","豆粕0812","m","1",1000,1,10,1,"20071218","20081212",null,1
"cu0803","SHFE","铜0803","cu","1",500,1,5,10,"20070316","20080317",null,1
"fu0803","SHFE","燃料油0803","fu","1",500,1,10,1,"20070301","20080229",null,1
"p0803","DCE","棕榈油0803","p","1",1000,1,10,2,"20070315","20080314",null,1
"m1712-P-2500","DCE","m1712-P-2500","m_o","2",100,1,10,0.5,"20170525","20171107","m1712",1
"l0804","DCE","线型低密度聚乙烯0804","l","1",1000,1,5,5,"20070416","20080415",null,1
"zn0804","SHFE","锌0804","zn","1",500,1,5,5,"20070417","20080415",null,1
"al0804","SHFE","铝0804","al","1",500,1,5,5,"20070417","20080415",null,1
"ru0805","SHFE","天然橡胶0805","ru","1",500,1,5,5,"20070517","20080515",null,1
"fu0805","SHFE","燃料油0805","fu","1",500,1,10,1,"20070508","20080430",null,1
"al0805","SHFE","铝0805","al","1",500,1,5,5,"20070517","20080515",null,1
"cu0806","SHFE","铜0806","cu","1",500,1,5,10,"20070618","20080616",null,1
"fu0806","SHFE","燃料油0806","fu","1",500,1,10,1,"20070601","20080530",null,1
"p0806","DCE","棕榈油0806","p","1",1000,1,10,2,"20070615","20080616",null,1
"b0807","DCE","黄大豆2号0807","b","1",1000,1,10,1,"20070716","20080714",null,1
"WS807","CZCE","优质强筋小麦807","WS","1",1000,1,10,1,"20070724","20080723",null,1
"zn0807","SHFE","锌0807","zn","1",500,1,5,5,"20070717","20080715",null,1
"al0810","SHFE","铝0810","al","1",500,1,5,5,"20071017","20081015",null,1
"ru0811","SHFE","天然橡胶0811","ru","1",500,1,5,5,"20071119","20081117",null,1
"b0811","DCE","黄大豆2号0811","b","1",1000,1,10,1,"20071115","20081114",null,1
"l0811","DCE","线型低密度聚乙烯0811","l","1",1000,1,5,5,"20071115","20081114",null,1
"WT811","CZCE","硬冬白小麦811","WT","1",1000,1,10,1,"20071123","20081120",null,1
"RO811","CZCE","菜籽油811","RO","1",1000,1,5,2,"20071115","20081114",null,1
"ru0705","SHFE","天然橡胶0705","ru","1",500,1,5,5,"20060517","20070516",null,1
"b0705","DCE","黄大豆2号0705","b","1",1000,1,10,1,"20060522","20070521",null,1
"l0705","DCE","线型低密度聚乙烯0705","l","1",1000,1,5,5,"20060522","20070521",null,1
"cu0706","SHFE","铜0706","cu","1",500,1,5,10,"20060616","20070615",null,1
"fu0706","SHFE","燃料油0706","fu","1",500,1,10,1,"20060601","20070531",null,1
"ru0707","SHFE","天然橡胶0707","ru","1",500,1,5,5,"20060718","20070716",null,1
"ru0806","SHFE","天然橡胶0806","ru","1",500,1,5,5,"20070619","20080616",null,1
"al0806","SHFE","铝0806","al","1",500,1,5,5,"20070619","20080616",null,1
"l0806","DCE","线型低密度聚乙烯0806","l","1",1000,1,5,5,"20070615","20080616",null,1
"c0807","DCE","黄玉米0807","c","1",2000,1,10,1,"20070716","20080714",null,1
"y0807","DCE","豆油0807","y","1",1000,1,10,2,"20070716","20080714",null,1
"l0807","DCE","线型低密度聚乙烯0807","l","1",1000,1,5,5,"20070716","20080714",null,1
"m0807","DCE","豆粕0807","m","1",1000,1,10,1,"20070716","20080714",null,1
"p0807","DCE","棕榈油0807","p","1",1000,1,10,2,"20070716","20080714",null,1
"WT807","CZCE","硬冬白小麦807","WT","1",1000,1,10,1,"20070724","20080723",null,1
"RO807","CZCE","菜籽油807","RO","1",1000,1,5,2,"20070716","20080714",null,1
"cu0807","SHFE","铜0807","cu","1",500,1,5,10,"20070717","20080715",null,1
"zn0810","SHFE","锌0810","zn","1",500,1,5,5,"20071017","20081015",null,1
"ru0810","SHFE","天然橡胶0810","ru","1",500,1,5,5,"20071017","20081015",null,1
"fu0810","SHFE","燃料油0810","fu","1",500,1,10,1,"20071008","20080926",null,1
"cu0811","SHFE","铜0811","cu","1",500,1,5,10,"20071116","20081117",null,1
"zn0811","SHFE","锌0811","zn","1",500,1,5,5,"20071119","20081117",null,1
"fu0811","SHFE","燃料油0811","fu","1",500,1,10,1,"20071101","20081031",null,1
"c0811","DCE","黄玉米0811","c","1",2000,1,10,1,"20071115","20081114",null,1
"a0905","DCE","黄大豆1号0905","a","1",1000,1,10,1,"20071115","20090515",null,1
"al0811","SHFE","铝0811","al","1",500,1,5,5,"20071119","20081117",null,1
"y0811","DCE","豆油0811","y","1",1000,1,10,2,"20071115","20081114",null,1
"m0811","DCE","豆粕0811","m","1",1000,1,10,1,"20071115","20081114",null,1
"p0811","DCE","棕榈油0811","p","1",1000,1,10,2,"20071115","20081114",null,1
"WS811","CZCE","优质强筋小麦811","WS","1",1000,1,10,1,"20071123","20081120",null,1
"cu0705","SHFE","铜0705","cu","1",500,1,5,10,"20060516","20070515",null,1
"zn0705","SHFE","锌0705","zn","1",500,1,5,5,"20060517","20070516",null,1
"fu0705","SHFE","燃料油0705","fu","1",500,1,10,1,"20060508","20070430",null,1
"c0705","DCE","黄玉米0705","c","1",2000,1,10,1,"20060522","20070521",null,1
"a0711","DCE","黄大豆1号0711","a","1",1000,1,10,1,"20060522","20071114",null,1
"al0705","SHFE","铝0705","al","1",500,1,5,5,"20060517","20070516",null,1
"y0705","DCE","豆油0705","y","1",1000,1,10,2,"20060522","20070521",null,1
"m0705","DCE","豆粕0705","m","1",1000,1,10,1,"20060522","20070521",null,1
"p0705","DCE","棕榈油0705","p","1",1000,1,10,2,"20060522","20070521",null,1
"WS705","CZCE","优质强筋小麦705","WS","1",1000,1,10,1,"20060524","20070523",null,1
"WT705","CZCE","硬冬白小麦705","WT","1",1000,1,10,1,"20060524","20070523",null,1
"jd1810","DCE","鲜鸡蛋1810","jd","1",300,1,10,1,"20171027","20181026",null,null
"wr1902","SHFE","线材1902","wr","1",500,1,10,1,"20180212","20180831",null,0
"cu1902","SHFE","铜1902","cu","1",500,1,5,10,"20180212","20190215",null,null
"zn1902","SHFE","锌1902","zn","1",500,1,5,5,"20180212","20190215",null,null
"al1902","SHFE","铝1902","al","1",500,1,5,5,"20180212","20190215",null,null
"au1805","SHFE","黄金1805","au","1",500,1,1000,0.05,"20180212","20180515",null,null
"RO705","CZCE","菜籽油705","RO","1",1000,1,5,2,"20060522","20070521",null,1
"zn0706","SHFE","锌0706","zn","1",500,1,5,5,"20060619","20070618",null,1
"ru0706","SHFE","天然橡胶0706","ru","1",500,1,5,5,"20060619","20070618",null,1
"al0706","SHFE","铝0706","al","1",500,1,5,5,"20060619","20070618",null,1
"l0706","DCE","线型低密度聚乙烯0706","l","1",1000,1,5,5,"20060615","20070614",null,1
"p0706","DCE","棕榈油0706","p","1",1000,1,10,2,"20060615","20070614",null,1
"p0812","DCE","棕榈油0812","p","1",1000,1,10,2,"20071218","20081212",null,1
"m1807-P-3150","DCE","m1807-P-3150","m_o","2",100,1,10,0.5,"20171207","20180607","m1807",1
"cu0901","SHFE","铜0901","cu","1",500,1,5,10,"20080116","20090115",null,1
"ru0901","SHFE","天然橡胶0901","ru","1",500,1,5,5,"20080116","20090115",null,1
"RO711","CZCE","菜籽油711","RO","1",1000,1,5,2,"20061115","20071114",null,1
"c0901","DCE","黄玉米0901","c","1",2000,1,10,1,"20080116","20090116",null,1
"a0907","DCE","黄大豆1号0907","a","1",1000,1,10,1,"20080116","20090714",null,1
"al0901","SHFE","铝0901","al","1",500,1,5,5,"20080116","20090115",null,1
"y0901","DCE","豆油0901","y","1",1000,1,10,2,"20080116","20090116",null,1
"l0901","DCE","线型低密度聚乙烯0901","l","1",1000,1,5,5,"20080116","20090116",null,1
"p0901","DCE","棕榈油0901","p","1",1000,1,10,2,"20080116","20090116",null,1
"m1807-C-3150","DCE","m1807-C-3150","m_o","2",100,1,10,0.5,"20171207","20180607","m1807",1
"RO901","CZCE","菜籽油901","RO","1",1000,1,5,2,"20080116","20090116",null,1
"zn0712","SHFE","锌0712","zn","1",500,1,5,5,"20061219","20071217",null,1
"l0712","DCE","线型低密度聚乙烯0712","l","1",1000,1,5,5,"20061215","20071217",null,1
"ru0801","SHFE","天然橡胶0801","ru","1",500,1,5,5,"20070117","20080115",null,1
"b0801","DCE","黄大豆2号0801","b","1",1000,1,10,1,"20070118","20080115",null,1
"l0801","DCE","线型低密度聚乙烯0801","l","1",1000,1,5,5,"20070118","20080115",null,1
"WT801","CZCE","硬冬白小麦801","WT","1",1000,1,10,1,"20070124","20080123",null,1
"RO801","CZCE","菜籽油801","RO","1",1000,1,5,2,"20070118","20080115",null,1
"cu0808","SHFE","铜0808","cu","1",500,1,5,10,"20070816","20080815",null,1
"fu0808","SHFE","燃料油0808","fu","1",500,1,10,1,"20070801","20080731",null,1
"m0808","DCE","豆粕0808","m","1",1000,1,10,1,"20070815","20080814",null,1
"cu0809","SHFE","铜0809","cu","1",500,1,5,10,"20070918","20080916",null,1
"fu0809","SHFE","燃料油0809","fu","1",500,1,10,1,"20070903","20080829",null,1
"al0809","SHFE","铝0809","al","1",500,1,5,5,"20070918","20080916",null,1
"l0810","DCE","线型低密度聚乙烯0810","l","1",1000,1,5,5,"20071022","20081017",null,1
"fu0710","SHFE","燃料油0710","fu","1",500,1,10,1,"20061009","20070928",null,1
"ru0711","SHFE","天然橡胶0711","ru","1",500,1,5,5,"20061117","20071116",null,1
"a0805","DCE","黄大豆1号0805","a","1",1000,1,10,1,"20061115","20080516",null,1
"l0711","DCE","线型低密度聚乙烯0711","l","1",1000,1,5,5,"20061115","20071114",null,1
"WT711","CZCE","硬冬白小麦711","WT","1",1000,1,10,1,"20061123","20071122",null,1
"RO707","CZCE","菜籽油707","RO","1",1000,1,5,2,"20060717","20070713",null,1
"cu0708","SHFE","铜0708","cu","1",500,1,5,10,"20060816","20070815",null,1
"zn0708","SHFE","锌0708","zn","1",500,1,5,5,"20060817","20070816",null,1
"fu0708","SHFE","燃料油0708","fu","1",500,1,10,1,"20060801","20070731",null,1
"al0708","SHFE","铝0708","al","1",500,1,5,5,"20060817","20070816",null,1
"l0708","DCE","线型低密度聚乙烯0708","l","1",1000,1,5,5,"20060815","20070814",null,1
"al0802","SHFE","铝0802","al","1",500,1,5,5,"20070226","20080215",null,1
"cu0707","SHFE","铜0707","cu","1",500,1,5,10,"20060718","20070716",null,1
"zn0707","SHFE","锌0707","zn","1",500,1,5,5,"20060718","20070716",null,1
"fu0707","SHFE","燃料油0707","fu","1",500,1,10,1,"20060703","20070629",null,1
"c0707","DCE","黄玉米0707","c","1",2000,1,10,1,"20060717","20070713",null,1
"a0801","DCE","黄大豆1号0801","a","1",1000,1,10,1,"20060717","20080115",null,1
"al0707","SHFE","铝0707","al","1",500,1,5,5,"20060718","20070716",null,1
"y0707","DCE","豆油0707","y","1",1000,1,10,2,"20060717","20070713",null,1
"m0707","DCE","豆粕0707","m","1",1000,1,10,1,"20060717","20070713",null,1
"p0707","DCE","棕榈油0707","p","1",1000,1,10,2,"20060717","20070713",null,1
"WS707","CZCE","优质强筋小麦707","WS","1",1000,1,10,1,"20060724","20070723",null,1
"au0806","SHFE","黄金0806","au","1",500,1,1000,0.01,"20070909","20080616",null,1
"y1005","DCE","豆油1005","y","1",1000,1,10,2,"20090518","20100517",null,1
"l1003","DCE","线型低密度聚乙烯1003","l","1",1000,1,5,5,"20090316","20100312",null,1
"m1003","DCE","豆粕1003","m","1",1000,1,10,1,"20090316","20100312",null,1
"p1003","DCE","棕榈油1003","p","1",1000,1,10,2,"20090316","20100312",null,1
"WS009","CZCE","优质强筋小麦009","WS","1",1000,1,10,1,"20090324","20100917",null,1
"WT003","CZCE","硬冬白小麦003","WT","1",1000,1,10,1,"20090324","20100323",null,1
"rb1004","SHFE","螺纹钢1004","rb","1",500,1,10,1,"20090416","20100415",null,1
"wr1004","SHFE","线材1004","wr","1",500,1,10,1,"20090416","20100415",null,1
"ER909","CZCE","早籼稻909","ER","1",1000,1,10,1,"20090420","20090922",null,1
"ER911","CZCE","早籼稻911","ER","1",1000,1,10,1,"20090420","20091120",null,1
"ER001","CZCE","早籼稻001","ER","1",1000,1,10,1,"20090420","20100121",null,1
"ER003","CZCE","早籼稻003","ER","1",1000,1,10,1,"20090420","20100323",null,1
"WT005","CZCE","硬冬白小麦005","WT","1",1000,1,10,1,"20090520","20100521",null,1
"RO005","CZCE","菜籽油005","RO","1",1000,1,5,2,"20090518","20100517",null,1
"au1005","SHFE","黄金1005","au","1",500,1,1000,0.01,"20090518","20100517",null,1
"cu1002","SHFE","铜1002","cu","1",500,1,5,10,"20090217","20100209",null,1
"zn1002","SHFE","锌1002","zn","1",500,1,5,5,"20090217","20100209",null,1
"fu1002","SHFE","燃料油1002","fu","1",500,1,10,1,"20090202","20090205",null,1
"al1002","SHFE","铝1002","al","1",500,1,5,5,"20090217","20100209",null,1
"rb1005","SHFE","螺纹钢1005","rb","1",500,1,10,1,"20090518","20100517",null,1
"WT901","CZCE","硬冬白小麦901","WT","1",1000,1,10,1,"20080124","20090115",null,1
"WS001","CZCE","优质强筋小麦001","WS","1",1000,1,10,1,"20080724","20100121",null,1
"au0908","SHFE","黄金0908","au","1",500,1,1000,0.01,"20080818","20090817",null,1
"c0909","DCE","黄玉米0909","c","1",2000,1,10,1,"20080916","20090914",null,1
"a1003","DCE","黄大豆1号1003","a","1",1000,1,10,1,"20080916","20100312",null,1
"b0909","DCE","黄大豆2号0909","b","1",1000,1,10,1,"20080916","20090914",null,1
"y0909","DCE","豆油0909","y","1",1000,1,10,2,"20080916","20090914",null,1
"l0909","DCE","线型低密度聚乙烯0909","l","1",1000,1,5,5,"20080916","20090914",null,1
"m0909","DCE","豆粕0909","m","1",1000,1,10,1,"20080916","20090914",null,1
"p0909","DCE","棕榈油0909","p","1",1000,1,10,2,"20080916","20090914",null,1
